15,Time Comparison,"Compares spend for products over time periods. Trend graphs, top increases, and YoY, QoQ, MoM change in Dollars or Quantity.",8,https://erahcprod.wpengine.com/guides/80-20-descending-dollar/,https://erahcprod.wpengine.com/videos/80-20-descending-dollar-report-overview/
16,Price Comparison by Item,"Visually compares prices paid for a single item across accounts. Modify default filters for item, account type and time frame.",8,https://erahcprod.wpengine.com/guides/contract-compliance/,https://erahcprod.wpengine.com/videos/contract-compliance-report-overview/
20,High Frequency Items,Shows the items with the highest number of purchase invoices over the past 30 days.,8,https://erahcprod.wpengine.com/guides/facility-detail-analytics/,https://erahcprod.wpengine.com/videos/facility-detail-analytics-report-overview/
22,80/20 Descending Dollar,Ranking report showing which items have contributed the most to spend by various categories. Additional drills to detail in graph and table.,8,https://erahcprod.wpengine.com/guides/high-frequency-items/,https://erahcprod.wpengine.com/videos/high-frequency-items-report-overview/
24,Price Paid Trend,Shows variances between the minimum and maximum price invoiced for an item and calculates a projected financial impact on lowest invoice price.,8,https://erahcprod.wpengine.com/guides/inflation-report/,https://erahcprod.wpengine.com/videos/inflation-report-overview/
29,Purchase Drill Down,Top-line spend summary by account with key mix ratios that allows for drilling to item and invoice detail.,8,https://erahcprod.wpengine.com/guides/item-velocity-report/,https://erahcprod.wpengine.com/videos/item-velocity-report-overview/
70,Inflation Report,Shows whether the increases or decreases in spend are due to price changes or changes in my purchase volume.,8,https://erahcprod.wpengine.com/guides/newly-purchased-items-all-accounts/,https://erahcprod.wpengine.com/videos/newly-purchased-items-all-accounts-report-overview/
72,Omits Trend by Account,Looks at Omits by Account over time for all Items or a set of Items.,10,https://erahcprod.wpengine.com/guides/newly-purchased-items-by-account/,https://erahcprod.wpengine.com/videos/newly-purchased-items-by-account-report/
74,Controlled Substance Order Details,Detail report showing all Controlled Substances purchases over the past 30 days.,9,https://erahcprod.wpengine.com/guides/price-comparison-by-item/,https://erahcprod.wpengine.com/videos/price-comparison-by-item-video/
94,Therapeutic Usage Detail, Provides interactive analysis of purchases by therapeutic class with drill to time comparison solution.,,https://erahcprod.wpengine.com/guides/price-paid-trend/,https://erahcprod.wpengine.com/videos/price-paid-trend-report-overview/
,8,,,https://erahcprod.wpengine.com/guides/purchase-comparison-to-average/,
